,Random_Forest,SVM,LSTM
TP,15.9,14.8,16.1
TN,42.2,44.1,40.9
FP,7.8,5.9,9.1
FN,10.9,12.0,10.7
P,26.8,26.8,26.8
N,50.0,50.0,50.0
TPR,0.5945751679622647,0.5494815900944932,0.6000420022032924
TNR,0.8440135645473992,0.8818567773079051,0.8164281633153813
FPR,0.15598643545260088,0.11814322269209487,0.18357183668461863
FNR,0.40542483203773527,0.45051840990550673,0.3999579977967075
Precision,0.6711210755544587,0.7091874085741362,0.6381086624373069
Recall,0.5945751679622647,0.5494815900944932,0.6000420022032924
F1,0.6255586937501831,0.6158897726215211,0.6142389804257907
Accuracy,0.7564764183185236,0.7668831168831168,0.7420710868079289
Error_Rate,0.2435235816814764,0.2331168831168831,0.2579289131920711
Balanced_Acc,0.7192943662548319,0.7156691837011993,0.708235082759337
TSS,0.4385887325096639,0.4313383674023984,0.41647016551867394
HSS,0.4466648948463126,0.4520964930582486,0.41982960921827334
AUC,0.8269817461743811,0.8236355919617477,0.8038368811374346
Brier_Score,0.1601600974025974,0.1631042559236931,0.17160040295823809
BSS,0.28712493382674664,0.2740584870177458,0.2360207953611885
